"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","20-Jun-2018","       1824.50","       1832.00","       1836.30","       1818.60","       1820.00","       1822.45","       1828.68","    3107695","          5682968753.90","     151059","    2297300","         73.92"
"TCS","EQ","21-Jun-2018","       1822.45","       1832.00","       1832.00","       1817.60","       1820.00","       1819.35","       1822.83","    2910659","          5305644225.80","     130989","    2119842","         72.83"
"TCS","EQ","22-Jun-2018","       1819.35","       1827.00","       1827.00","       1799.55","       1809.00","       1809.80","       1810.38","    2949458","          5339626532.70","     225703","    2149173","         72.87"
"TCS","EQ","25-Jun-2018","       1809.80","       1811.90","       1822.35","       1806.00","       1817.75","       1819.25","       1817.52","    2083217","          3786278981.15","     115086","    1348047","         64.71"
"TCS","EQ","26-Jun-2018","       1819.25","       1823.00","       1861.00","       1821.00","       1852.05","       1852.00","       1842.52","    4679712","          8622455574.95","     160270","    3197021","         68.32"
"TCS","EQ","27-Jun-2018","       1852.00","       1860.00","       1885.15","       1851.25","       1857.50","       1858.00","       1870.51","    4081208","          7633922937.85","     163411","    1967182","         48.20"
"TCS","EQ","28-Jun-2018","       1858.00","       1865.00","       1871.00","       1826.30","       1844.10","       1842.70","       1846.23","    4888125","          9024622355.45","     176902","    3110366","         63.63"
"TCS","EQ","29-Jun-2018","       1842.70","       1844.90","       1867.40","       1842.30","       1844.95","       1847.75","       1851.25","    3506276","          6490978437.60","     213525","    2265670","         64.62"
"TCS","EQ","02-Jul-2018","       1847.75","       1852.00","       1857.80","       1841.10","       1854.05","       1851.35","       1852.00","    2650290","          4908342579.90","     137325","    1969574","         74.32"
"TCS","EQ","03-Jul-2018","       1851.35","       1859.95","       1879.90","       1857.05","       1874.25","       1874.05","       1872.16","    3242233","          6069985147.50","     191297","    2047537","         63.15"
"TCS","EQ","04-Jul-2018","       1874.05","       1879.90","       1879.90","       1857.15","       1867.00","       1866.15","       1863.61","    2700614","          5032886447.20","     116958","    1997832","         73.98"
"TCS","EQ","05-Jul-2018","       1866.15","       1873.00","       1887.50","       1862.10","       1883.80","       1880.30","       1874.33","    2472571","          4634408415.65","      94620","    1580212","         63.91"
"TCS","EQ","06-Jul-2018","       1880.30","       1882.85","       1921.00","       1881.65","       1917.75","       1912.95","       1907.65","    3713781","          7084608223.60","     143673","    2110559","         56.83"
"TCS","EQ","09-Jul-2018","       1912.95","       1924.00","       1924.40","       1876.50","       1884.20","       1883.00","       1888.15","    6151747","         11615411506.80","     193730","    4089052","         66.47"
"TCS","EQ","10-Jul-2018","       1883.00","       1898.00","       1898.90","       1870.75","       1876.05","       1875.10","       1881.79","    5303302","          9979704601.25","     187687","    3366084","         63.47"
"TCS","EQ","11-Jul-2018","       1875.10","       1900.00","       1998.00","       1894.15","       1970.00","       1979.90","       1951.99","   22903802","         44708105351.40","     482657","    9308170","         40.64"
"TCS","EQ","12-Jul-2018","       1979.90","       1984.00","       1990.90","       1960.50","       1973.00","       1971.35","       1972.52","    6921701","         13653172983.90","     204057","    3235315","         46.74"
"TCS","EQ","13-Jul-2018","       1971.35","       1975.00","       1997.90","       1974.00","       1977.60","       1981.10","       1986.23","    4148185","          8239240068.00","     146909","    1571340","         37.88"
"TCS","EQ","16-Jul-2018","       1981.10","       1990.00","       1996.00","       1977.45","       1988.85","       1989.20","       1988.74","    2582159","          5135235030.60","     112338","    1428885","         55.34"
